time,VLA,VLV,VRA,VRV,pARSYS
7.8010000000e-01,1.0131978700e+02,1.6059877172e+02,1.0100814005e+02,1.1710236448e+02,9.2279277370e+01
7.9010000000e-01,9.9881077385e+01,1.6059878036e+02,9.8015848520e+01,1.2100342556e+02,9.1559384124e+01
8.0010000000e-01,9.8610812750e+01,1.6059878886e+02,9.5612856562e+01,1.2432334360e+02,9.0848894642e+01
8.1010000000e-01,9.7501215736e+01,1.6059879721e+02,9.3709992576e+01,1.2715002433e+02,9.0147681663e+01
8.2010000000e-01,9.6543055219e+01,1.6059880541e+02,9.2232706296e+01,1.2955696953e+02,8.9455619881e+01
8.3010000000e-01,9.5726810628e+01,1.6059881348e+02,9.1118788546e+01,1.3160552460e+02,8.8772585896e+01
8.4010000000e-01,9.5043275277e+01,1.6059882139e+02,9.0316421778e+01,1.3334679971e+02,8.8098458159e+01
8.5010000000e-01,9.4483850052e+01,1.6059882910e+02,8.9941423437e+01,1.3466435286e+02,8.7433116925e+01
8.6010000000e-01,9.4040667313e+01,1.6059883651e+02,9.0607546110e+01,1.3494299841e+02,8.6776444226e+01
8.7010000000e-01,9.3706622857e+01,1.6059884339e+02,9.1552566169e+01,1.3494300022e+02,8.6128323995e+01
8.8010000000e-01,9.3475359333e+01,1.6059884943e+02,9.2497767252e+01,1.3494300141e+02,8.5488642098e+01
8.9010000000e-01,9.3341225193e+01,1.6059885410e+02,9.3443410329e+01,1.3494300179e+02,8.4857286120e+01
9.0010000000e-01,9.3299222542e+01,1.6059885668e+02,9.4389753893e+01,1.3494300121e+02,8.4234145229e+01
9.1010000000e-01,9.3344951193e+01,1.6059885617e+02,9.5337052372e+01,1.3492984662e+02,8.3619110135e+01
9.2010000000e-01,9.3474554295e+01,1.6059885132e+02,9.6285555116e+01,1.3184916700e+02,8.3012073068e+01
9.3010000000e-01,9.3684736778e+01,1.5731187624e+02,9.7235505476e+01,1.2479712107e+02,8.5149233142e+01
9.4010000000e-01,9.3973074775e+01,1.5178264338e+02,9.8187145545e+01,1.1571098816e+02,8.9135477308e+01
9.5010000000e-01,9.4338403787e+01,1.4541005870e+02,9.9140725936e+01,1.0615881016e+02,9.3781219267e+01
9.6010000000e-01,9.4780880176e+01,1.3850898467e+02,1.0009650069e+02,9.7194640967e+01,9.8811364272e+01
9.7010000000e-01,9.5301696760e+01,1.3134907439e+02,1.0105472065e+02,8.9374833393e+01,1.0399426017e+02
9.8010000000e-01,9.5902615924e+01,1.2415714379e+02,1.0201562948e+02,8.2878228065e+01,1.0913768269e+02
9.9010000000e-01,9.6585492448e+01,1.1711513535e+02,1.0297946059e+02,7.7655801307e+01,1.1408960693e+02
1.0001000000e+00,9.7351897837e+01,1.1036901330e+02,1.0394643473e+02,7.3556199978e+01,1.1873018036e+02
1.0101000000e+00,9.8202888780e+01,1.0401765854e+02,1.0491675789e+02,7.0406710706e+01,1.2298048428e+02
1.0201000000e+00,9.9138911713e+01,9.8122314628e+01,1.0589061957e+02,6.8053720419e+01,1.2679415785e+02
1.0301000000e+00,1.0015980941e+02,9.2712600510e+01,1.0686819143e+02,6.6376513281e+01,1.3015194139e+02
1.0401000000e+00,1.0126488941e+02,8.7792071096e+01,1.0784962615e+02,6.5287589718e+01,1.3305666789e+02
1.0501000000e+00,1.0245301977e+02,8.3346223666e+01,1.0883505670e+02,6.4693947876e+01,1.3552628464e+02
1.0601000000e+00,1.0372272810e+02,7.9350507905e+01,1.0982459567e+02,6.4430548189e+01,1.3758695620e+02
1.0701000000e+00,1.0507229504e+02,7.5775718734e+01,1.1081833485e+02,6.4389913079e+01,1.3926843392e+02
1.0801000000e+00,1.0649984231e+02,7.2594104906e+01,1.1181634492e+02,6.4389910040e+01,1.4059889833e+02
1.0901000000e+00,1.0800341260e+02,6.9785207973e+01,1.1281867515e+02,6.4389907094e+01,1.4160009238e+02
1.1001000000e+00,1.0958104068e+02,6.7337764127e+01,1.1382535327e+02,6.4389904273e+01,1.4228579789e+02
1.1101000000e+00,1.1123080468e+02,6.5250503723e+01,1.1483638523e+02,6.4389901608e+01,1.4266126075e+02
1.1201000000e+00,1.1295085037e+02,6.3539247092e+01,1.1585175497e+02,6.4389899126e+01,1.4271738849e+02
1.1301000000e+00,1.1473939223e+02,6.2247494389e+01,1.1687142426e+02,6.4389896854e+01,1.4242210102e+02
1.1401000000e+00,1.1659469787e+02,6.1461550624e+01,1.1789533235e+02,6.4389894815e+01,1.4170799625e+02
1.1501000000e+00,1.1851506188e+02,6.1296951169e+01,1.1892339552e+02,6.4389893031e+01,1.4048409958e+02
1.1601000000e+00,1.2049877345e+02,6.1296935726e+01,1.1995550655e+02,6.4389891520e+01,1.3913677987e+02
1.1701000000e+00,1.2254408165e+02,6.1296922608e+01,1.2099153504e+02,6.4389890298e+01,1.3780603146e+02
1.1801000000e+00,1.2464916008e+02,6.1296912135e+01,1.2203132936e+02,6.4389889378e+01,1.3649248765e+02
1.1901000000e+00,1.2681207080e+02,6.1296904409e+01,1.2307471776e+02,6.4389888768e+01,1.3519614926e+02
1.2001000000e+00,1.2903072943e+02,6.1296899494e+01,1.2412150884e+02,6.4389888476e+01,1.3391684846e+02
1.2101000000e+00,1.3130287159e+02,6.1296897383e+01,1.2517149195e+02,6.4389888504e+01,1.3265437415e+02
1.2201000000e+00,1.3362602083e+02,6.1296897984e+01,1.2622443747e+02,6.4389888851e+01,1.3140850580e+02
1.2301000000e+00,1.3599745803e+02,6.1296901141e+01,1.2728009729e+02,6.4389889514e+01,1.3017902260e+02
1.2401000000e+00,1.3841419262e+02,6.1296906657e+01,1.2833820529e+02,6.4389890486e+01,1.2896570581e+02
1.2501000000e+00,1.4087293563e+02,6.1296914298e+01,1.2939847792e+02,6.4389891757e+01,1.2776833947e+02
1.2601000000e+00,1.4337007463e+02,6.1296923816e+01,1.3046061482e+02,6.4389893313e+01,1.2658671048e+02
1.2701000000e+00,1.4590165091e+02,6.1296934951e+01,1.3152429955e+02,6.4389895140e+01,1.2542060866e+02
1.2801000000e+00,1.4846333908e+02,6.1296947446e+01,1.3258920039e+02,6.4389897217e+01,1.2426982666e+02
1.2901000000e+00,1.5105042927e+02,6.1296961051e+01,1.3365497121e+02,6.4389899524e+01,1.2313416000e+02
1.3001000000e+00,1.5350454809e+02,6.1450255674e+01,1.3472125243e+02,6.4389902036e+01,1.2201340697e+02
1.3101000000e+00,1.5456004167e+02,6.3020707099e+01,1.3578767197e+02,6.4389904729e+01,1.2090736876e+02
1.3201000000e+00,1.5460393617e+02,6.5631933433e+01,1.3685384642e+02,6.4389907574e+01,1.1981584914e+02
1.3301000000e+00,1.5405041012e+02,6.8883055365e+01,1.3775823150e+02,6.4551114937e+01,1.1873865456e+02
1.3401000000e+00,1.5320906548e+02,7.2472835612e+01,1.3818666580e+02,6.5187808957e+01,1.1767559408e+02
1.3501000000e+00,1.5234550417e+02,7.6137432793e+01,1.3831567081e+02,6.6123787809e+01,1.1662647931e+02
1.3601000000e+00,1.5163463770e+02,7.9697298444e+01,1.3833133549e+02,6.7173140975e+01,1.1559112433e+02
1.3701000000e+00,1.5118364043e+02,8.3035546657e+01,1.3838359460e+02,6.8185971716e+01,1.1456934565e+02
1.3801000000e+00,1.5103585202e+02,8.6095636729e+01,1.3849861092e+02,6.9136069596e+01,1.1356096221e+02
1.3901000000e+00,1.5117764946e+02,8.8876022788e+01,1.3867034442e+02,7.0029418884e+01,1.1256579536e+02
1.4001000000e+00,1.5155840341e+02,9.1411540639e+01,1.3889333231e+02,7.0871431245e+01,1.1158366884e+02
1.4101000000e+00,1.5212052476e+02,9.3744582913e+01,1.3916263391e+02,7.1667000504e+01,1.1061440874e+02
1.4201000000e+00,1.5282998754e+02,9.5897397583e+01,1.3947378074e+02,7.2420552166e+01,1.0965784350e+02
1.4301000000e+00,1.5366113559e+02,9.7888363137e+01,1.3982273135e+02,7.3136088204e+01,1.0871380384e+02
1.4401000000e+00,1.5459204167e+02,9.9734890426e+01,1.4020583051e+02,7.3817227569e+01,1.0778212275e+02
1.4501000000e+00,1.5544938149e+02,1.0160124195e+02,1.4061977225e+02,7.4467242818e+01,1.0686263546e+02
1.4601000000e+00,1.5545706592e+02,1.0418519864e+02,1.4106156652e+02,7.5089093252e+01,1.0595517944e+02
1.4701000000e+00,1.5389998948e+02,1.0803642619e+02,1.4152850890e+02,7.5685454878e+01,1.0505959433e+02
1.4801000000e+00,1.5039272627e+02,1.1335715751e+02,1.4201815335e+02,7.6258747511e+01,1.0417572195e+02
1.4901000000e+00,1.4493873595e+02,1.1999822179e+02,1.4239849955e+02,7.6939022071e+01,1.0330340620e+02
1.5001000000e+00,1.3794026416e+02,1.2748417400e+02,1.4202397746e+02,7.8358082359e+01,1.0244249363e+02
1.5101000000e+00,1.3010415125e+02,1.3512029945e+02,1.4030116752e+02,8.1093463506e+01,1.0159283507e+02
1.5201000000e+00,1.2224528869e+02,1.4217920934e+02,1.3697324421e+02,8.5392658884e+01,1.0075428630e+02
1.5301000000e+00,1.1506448453e+02,1.4809678008e+02,1.3217493930e+02,9.1120320285e+01,9.9926707250e+01
1.5401000000e+00,1.0900622952e+02,1.5258423943e+02,1.2638282709e+02,9.7807775874e+01,9.9109960269e+01
1.5501000000e+00,1.0424727059e+02,1.5561682753e+02,1.2027571640e+02,1.0479013896e+02,9.8303908428e+01
1.5601000000e+00,1.0078450836e+02,1.5733488924e+02,1.1456323200e+02,1.1137403577e+02,9.7508414105e+01
1.5701000000e+00,9.8459867868e+01,1.5801331063e+02,1.0974970519e+02,1.1706887363e+02,9.6723338304e+01
1.5801000000e+00,9.6855441657e+01,1.5813260887e+02,1.0580973501e+02,1.2190240373e+02,9.5948541074e+01
1.5901000000e+00,9.5538489518e+01,1.5813261818e+02,1.0260854559e+02,1.2600751789e+02,9.5183883170e+01
1.6001000000e+00,9.4381485479e+01,1.5813262736e+02,1.0003295247e+02,1.2949578170e+02,9.4429227154e+01
1.6101000000e+00,9.3374725557e+01,1.5813263639e+02,9.7988136413e+01,1.3246066667e+02,9.3684437654e+01
1.6201000000e+00,9.2508455283e+01,1.5813264527e+02,9.6394818818e+01,1.3498033466e+02,9.2949381380e+01
1.6301000000e+00,9.1773350953e+01,1.5813265402e+02,9.5186838090e+01,1.3712002677e+02,9.2223927070e+01
1.6401000000e+00,9.1160749486e+01,1.5813266261e+02,9.4309077603e+01,1.3893410534e+02,9.1507945429e+01
1.6501000000e+00,9.0662739863e+01,1.5813267100e+02,9.3882159536e+01,1.4030128261e+02,9.0801309077e+01
1.6601000000e+00,9.0272179345e+01,1.5813267909e+02,9.4541914618e+01,1.4058421827e+02,9.0103892531e+01
1.6701000000e+00,8.9982669941e+01,1.5813268667e+02,9.5485001393e+01,1.4058421990e+02,8.9415572312e+01
1.6801000000e+00,8.9788514932e+01,1.5813269342e+02,9.6428417825e+01,1.4058422088e+02,8.8736226994e+01
1.6901000000e+00,8.9684666541e+01,1.5813269884e+02,9.7372433337e+01,1.4058422101e+02,8.8065736964e+01
