time,VLA,VLV,VRA,VRV,pARSYS
1.0001,77.982850227,108.40837315,85.128524181,76.908634404,117.69999515
1.0101,78.716009681,102.23321971,86.074806715,73.548445043,121.8177785
1.0201,79.505967677,96.505672958,87.022963091,71.035907819,125.50770545
1.0301,80.352865174,91.254853848,87.973155366,69.241636253,128.75081054
1.0401,81.256138109,86.4833177,88.925529435,68.071953459,131.55064014
1.0501,82.214652615,82.17577851,89.880214256,67.427761716,133.92566888
1.0601,83.226838511,78.306994881,90.83732129,67.134207515,135.90250527
1.0701,84.290811654,74.847896128,91.796944073,67.082476647,137.51065107
1.0801,85.404485662,71.772347311,92.759157912,67.082473567,138.77680422
1.0901,86.56567035,69.0630614,93.724019651,67.082470592,139.71994521
1.1001,87.77215754,66.711291306,94.691567459,67.082467757,140.35166767
1.1101,89.021784163,64.720154078,95.661820619,67.082465093,140.67350119
1.1201,90.312465428,63.114921395,96.634779286,67.08246263,140.66846549
1.1301,91.642202208,61.947862651,97.610424207,67.082460396,140.29724376
1.1401,93.009070323,61.322844252,98.588716352,67.082458416,139.47797785
1.1501,94.41119869,61.26403383,99.569596373,67.082456713,138.19611247
1.1601,95.846741353,61.264019618,100.55298402,67.082455306,136.87976123
1.1701,97.313848291,61.264007793,101.53877906,67.082454211,135.57992643
1.1801,98.81063565,61.26399856,102.526863,67.082453442,134.29698878
1.1901,100.33515682,61.263992026,103.51709997,67.082453009,133.03088494
1.2001,101.88537569,61.263988254,104.50933697,67.082452919,131.78143382
1.2101,103.45914217,61.263987223,105.50340419,67.082453173,130.54842478
1.2201,105.0541701,61.263988835,106.49911522,67.082453772,129.33164136
1.2301,106.66801761,61.263992937,107.49626745,67.082454712,128.13086773
1.2401,108.29806977,61.263999333,108.4946424,67.082455986,126.94589035
1.2501,109.94152379,61.264007794,109.49400626,67.082457582,125.77649844
1.2601,111.59537654,61.264018078,110.49411035,67.082459486,124.62248402
1.2701,113.25641451,61.264029932,111.49469177,67.082461682,123.48364194
1.2801,114.92120637,61.264043104,112.49547404,67.08246415,122.35976982
1.2901,115.49700051,62.356266621,113.49616786,67.082466866,121.25066817
1.3001,114.34012812,65.205487272,114.22722961,67.351760489,120.15614021
1.3101,112.16056774,69.14778938,114.07299414,68.506526526,119.07599167
1.3201,109.41588204,73.767294765,113.23712224,70.344064522,118.01003074
1.3301,106.49342857,78.704284872,111.92332694,72.661319419,116.95806806
1.3401,103.71954547,83.643794641,110.31966379,75.27078898,115.91991662
1.3501,101.29396532,88.382375752,108.60932525,77.989631444,114.89539178
1.3601,99.354387019,92.766919415,106.97788711,80.632335798,113.88431127
1.3701,97.96717528,96.707527026,105.58044354,83.043587005,112.88649522
1.3801,97.11251509,100.19568639,104.42353292,85.216458434,111.90176619
1.3901,96.709625194,103.28247792,103.4768126,87.180923367,110.92994914
1.4001,96.660940826,106.03726607,102.71376041,88.963180171,109.97087146
1.4101,96.878765886,108.52294441,102.11119376,90.586127651,109.02436292
1.4201,97.301393186,110.78157332,101.6488491,92.069780547,108.09025559
1.4301,97.881378469,112.84663199,101.30901437,93.431632701,107.16838387
1.4401,98.581190241,114.74574408,101.0762077,94.686974502,106.2585844
1.4501,99.276486617,116.59052856,100.93689661,95.849170353,105.36069606
1.4601,99.497978071,118.80077714,100.87925253,96.929901201,104.4745599
1.4701,98.849061463,121.67239712,100.89293626,97.939376532,103.60001918
1.4801,97.14457655,125.28367961,100.9689104,98.886519671,102.73691925
1.4901,94.421276965,129.51640755,101.00888756,99.868175735,101.88510756
1.5001,90.917219537,134.09409044,100.56489291,101.32278093,101.04443398
1.5101,87.000698793,138.65773239,99.241986149,103.63464796,100.21475195
1.5201,83.070655744,142.85873056,96.887538216,106.95059672,99.395918845
